Issue key,Primary Issue,Secondary Issue,Repeat,Suggested Response,Actual Response,Assigned to Respond:,Issue id,Mode,Airport,State,Zip,City,Received / Created,Zip Code,Latitude,Longitude,AutoCity,County,CA Region,Status,Response Time (Days),Response Time,Repeat Formula,Closed,Open,Waiting for customer,Open ATO WSC,Open Other,Response Method,NP Week,Date Range
AWP-201800021,Helicopter,,,,,,14407,Email,TOA,CA,90027,Los Angeles,9/3/2018,90027,34.13,-118.30,Los Angeles,Los Angeles County,SoCal,Addressed,456,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800022,Aircraft Noise,,,,,,14408,Email,SFO,CA,94506,Danville,9/3/2018,94506,37.81,-121.91,Danville,Contra Costa County,NorCal,Addressed,73,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800023,Low flying / safety,,,,,,14409,Email,SNA,CA,92647,Huntington Beach,9/3/2018,92647,33.72,-118.01,Huntington Beach,Orange County,SoCal,Addressed,74,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800024,Helicopter,,,,,,14410,Email,VNY,CA,91214,Glendale,9/3/2018,91214,34.24,-118.25,La Crescenta,Los Angeles County,SoCal,Addressed,74,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800025,Aircraft Noise,,,,,,14411,Email,SNA,CA,92649,Huntington Beach,9/3/2018,92649,33.73,-118.05,Huntington Beach,Orange County,SoCal,Addressed,74,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800026,Low flying / safety,,,,,,14501,Email,CCR,CA,94510,Benicia,9/7/2018,94510,38.10,-122.14,Benicia,Solano County,NorCal,Addressed,151,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800027,Helicopter,,,,,,14502,Email,TOA,CA,90027,Los Angeles,9/7/2018,90027,34.13,-118.30,Los Angeles,Los Angeles County,SoCal,Addressed,452,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800028,Aircraft Noise,,,,,,14600,Email,PAO,CA,94303,Palo Alto,9/11/2018,94303,37.46,-122.12,Palo Alto,Santa Clara County,NorCal,Addressed,402,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800029,Early morning/late night flights,,,,,,14601,Email,SZP,CA,93010,Camarillo,9/11/2018,93010,34.23,-119.08,Camarillo,Ventura County,SoCal,Addressed,402,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800030,Low flying / safety,,,,,,14602,Email,LGB,CA,92649,Huntington Beach,9/11/2018,92649,33.73,-118.05,Huntington Beach,Orange County,SoCal,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800031,Low flying / safety,,,,,,14603,Email,SMF,CA,95678,Roseville,9/11/2018,95678,38.76,-121.29,Roseville,Placer County,NorCal,Addressed,401,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800032,Aircraft Noise,,,,,,14604,Email,BUR,CA,91505,Burbank,9/11/2018,91505,34.17,-118.35,Burbank,Los Angeles County,SoCal,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800033,Low flying / safety,,,,,,14605,Email,HSH,NV,89141,Las Vegas,9/11/2018,89141,35.99,-115.21,Las Vegas,Clark County,#N/A,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800034,Low flying / safety,,,,,,14700,Email,HHR,CA,90254,Hermosa Beach,9/13/2018,90254,33.86,-118.40,Hermosa Beach,Los Angeles County,SoCal,Addressed,64,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800035,Aircraft Noise,,,,,,14701,Email,SNA,CA,92660,Newport Beach,9/13/2018,92660,33.63,-117.87,Newport Beach,Orange County,SoCal,Addressed,63,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800036,NextGen/PBN,,,,,,14702,Email,SNA,CA,92649,Huntington Beach,9/13/2018,92649,33.73,-118.05,Huntington Beach,Orange County,SoCal,Addressed,64,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800037,Low flying / safety,,,,,,14703,Email,SZP,CA,93012,Camarillo,9/13/2018,93012,34.20,-118.99,Camarillo,Ventura County,SoCal,Addressed,41,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800038,,,,,,,14704,Email,OAK,CA,94619,Oakland,9/13/2018,94619,37.79,-122.14,Oakland,Alameda County,NorCal,Addressed,210,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800039,NextGen/PBN,,,,,,14723,Email,ONT,CA,92352,Lake Arrowhead,9/13/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,64,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800040,Early morning/late night flights,,,,,,Oliver Brackett,Email,ONT,CA,92352,Lake Arrowhead,9/13/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,446,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800041,Low flying / safety,,,,,,14735,Email,ONT,CA,93722,Herndon,9/20/2018,93722,36.80,-119.88,Fresno,Fresno County,NorCal,Addressed,439,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800042,NextGen/PBN,,,,,,14736,Email,ONT,CA,92321,Unknown,9/20/2018,92321,34.25,-117.15,Cedar Glen,San Bernadino County,SoCal,Addressed,439,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800043,NextGen/PBN,,,,,,14737,Email,ONT,CA,92317,Blue Jay,9/20/2018,92317,34.25,-117.21,Blue Jay,San Bernadino County,SoCal,Addressed,497,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800044,Low flying / safety,,,,,,14744,Email,SFO,CA,94080,San Francisco,9/30/2018,94080,37.66,-122.42,South San Francisco,San Mateo County,NorCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800045,Low flying / safety,,,,,,14746,Email,CPM,CA,90220,Compton,9/30/2018,90220,33.88,-118.23,Compton,Los Angeles County,SoCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800046,Aircraft Noise,Commercial,No,,,,14747,Email,JHM,HI,96761,Lahaina,9/30/2018,96761,20.90,-156.61,Lahaina,Maui County,#N/A,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800047,Aircraft Noise,,,,,,14748,Email,HHR,CA,90278,Redondo Beach,9/30/2018,90278,33.87,-118.37,Redondo Beach,Los Angeles County,SoCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800048,Early morning/late night flights,Contraops response,,,,,14749,Email,ONT,CA,91710,Chino,9/30/2018,91710,34.00,-117.68,Chino,San Bernadino County,SoCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800049,Helicopter,,,,,,14750,Email,JOC,CA,90740,Seal Beach,9/30/2018,90740,33.76,-118.08,Seal Beach,Orange County,SoCal,Addressed,429,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800050,NextGen/PBN,,,,,,14751,Email,SNA,CA,92887,Yorba Linda,9/30/2018,92887,33.88,-117.73,Yorba Linda,Orange County,SoCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800051,Low flying / safety,,,,,,14752,Email,FUL,CA,92886,Yorba Linda,9/30/2018,92886,33.90,-117.80,Yorba Linda,Orange County,SoCal,Addressed,47,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800052,Helicopter,,,,,,14753,Email,R,CA,91604,Studio City,9/30/2018,91604,34.14,-118.39,Studio City,Los Angeles County,SoCal,Addressed,162,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800053,Helicopter,,,,,,14760,Email,PHX,AZ,85225,Chandler,9/30/2018,85225,33.32,-111.83,Chandler,Maricopa County,#N/A,Addressed,429,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800054,Aircraft Noise,,,,,,14905,Email,SNA,CA,92866,Orange,10/4/2018,92866,33.78,-117.84,Orange,Orange County,SoCal,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800055,NextGen/PBN,,,,,,14906,Email,FUL,CA,92870,Placentia,10/4/2018,92870,33.88,-117.85,Placentia,Orange County,SoCal,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800056,Aircraft Noise,,,,,,15009,Email,LGB,CA,90807,Long Beach,10/10/2018,90807,33.83,-118.17,Long Beach,Los Angeles County,SoCal,Addressed,14,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800057,Aircraft Noise,,,,,,15014,Email,VNY,CA,91326,Porter Ranch,10/10/2018,91326,34.28,-118.56,Porter Ranch,Los Angeles County,SoCal,Addressed,14,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800058,NextGen/PBN,,,,,,15015,Email,CNO,CA,92887,Yorba Linda,10/10/2018,92887,33.88,-117.73,Yorba Linda,Orange County,SoCal,Addressed,14,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800059,Aircraft Noise,,,,,,15016,Email,HHR,CA,90250,Hawthorne,10/10/2018,90250,33.91,-118.35,Hawthorne,Los Angeles County,SoCal,Addressed,14,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800060,Aircraft Noise,General Aviation,No,,,,15017,Email,HNL,HI,96822,Honolulu,10/10/2018,96822,21.32,-157.81,Honolulu,Honolulu County,#N/A,Addressed,14,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800061,NextGen/PBN,,,,,,15018,Email,LAS,NV,89148,Las Vegas,10/10/2018,89148,36.08,-115.30,Las Vegas,Clark County,#N/A,Addressed,36,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800062,NextGen/PBN,,,,,,15022,Email,BUR,CA,90077,Los Angeles,10/10/2018,90077,34.11,-118.46,Los Angeles,Los Angeles County,SoCal,Addressed,37,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800063,Aircraft Noise,,,,,,15023,Email,LAX,CA,90066,Los Angeles,10/10/2018,90066,34.00,-118.43,Los Angeles,Los Angeles County,SoCal,Addressed,419,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800064,Low flying / safety,,,,,,15025,Email,SMO,CA,90018,Los Angeles,10/10/2018,90018,34.03,-118.32,Los Angeles,Los Angeles County,SoCal,Addressed,36,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800065,NextGen/PBN,,,,,,15026,Email,SNA,CA,92648,Huntington Beach,10/10/2018,92648,33.68,-118.01,Huntington Beach,Orange County,SoCal,Addressed,36,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800066,NextGen/PBN,,,,,,15029,Email,FFZ,AZ,85203,Mesa,10/10/2018,85203,33.45,-111.80,Mesa,Maricopa County,#N/A,Addressed,36,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800067,NextGen/PBN,,,,,,15039,Email,SBD,CA,92352,Lake Arrowhead,10/15/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,32,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800068,NextGen/PBN,,,,,,15040,Email,EMT,CA,91746,City of Industry,10/15/2018,91746,34.04,-117.99,La Puente,Los Angeles County,SoCal,Addressed,32,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800069,NextGen/PBN,,,,,,15041,Email,SBD,CA,92321,Lake Arrowhead,10/15/2018,92321,34.25,-117.15,Cedar Glen,San Bernadino County,SoCal,Addressed,32,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800070,NextGen/PBN,,,,,,15042,Email,SBD,CA,92317,Lake Arrowhead,10/15/2018,92317,34.25,-117.21,Blue Jay,San Bernadino County,SoCal,Addressed,32,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800071,NextGen/PBN,,,,,,15043,Email,SBD,CA,92352,Lake Arrowhead,10/15/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,32,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800072,NextGen/PBN,,,,,,15045,Email,ONT,CA,92352,Lake Arrowhead,10/15/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,368,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800073,Early morning/late night flights,,,,,,15047,Email,ONT,CA,92352,Lake Arrohead,10/15/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,414,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800074,NextGen/PBN,,,,,,15101,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,31,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800075,NextGen/PBN,,,,,,15102,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,31,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800076,Early morning/late night flights,,,,,,15103,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,367,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800077,NextGen/PBN,,,,,,15104,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,31,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800078,Low flying / safety,,,,,,15105,Email,ONT,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,343,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800079,NextGen/PBN,,,,,,15106,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,31,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800080,NextGen/PBN,,,,,,15107,Email,SBD,CA,93252,Lake Arrowhead,10/16/2018,93252,34.71,-119.24,Maricopa,Kern County,SoCal,Addressed,31,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800081,Aircraft Noise,,,,,,15108,Email,LAX,CA,90266,Manhattan Beach,10/16/2018,90266,33.89,-118.40,Manhattan Beach,Los Angeles County,SoCal,Addressed,30,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800082,NextGen/PBN,,,,,,15109,Email,SBD,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,2,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800083,NextGen/PBN,,,,,,15110,Email,ONT,CA,92352,Lake Arrowhead,10/16/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,367,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800084,Aircraft Noise,,,,,,15111,Email,OAK,CA,94611,Oakland Hills,10/16/2018,94611,37.83,-122.20,Oakland,Alameda County,NorCal,Addressed,413,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800085,Low flying / safety,,,,,,15044,Email,ONT,CA,92352,Lake Arrowhead,10/15/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,414,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800086,NextGen/PBN,,,,,,15116,Email,SNA,CA,92676,Modjeska Canyon,10/17/2018,92676,33.75,-117.62,Silverado,Orange County,SoCal,Addressed,1,Less than 15 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800087,Low flying / safety,,,,,,15124,Email,BUR,CA,91423,Sherman Oaks,10/22/2018,91423,34.15,-118.43,Sherman Oaks,Los Angeles County,SoCal,Addressed,25,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800088,Helicopter,,,,,,15125,Email,R,CA,91602,Studio City,10/22/2018,91602,34.15,-118.37,North Hollywood,Los Angeles County,SoCal,Addressed,176,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800089,Low flying / safety,,,,,,15127,Email,ONT,CA,92352,Lake Arrowhead,10/23/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,24,15 - 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
